headbreadth,headcircumference,headlength,tragiontopofhead
149,584,205,140
154,568,192,131
161,592,200,128
162,589,199,140
145,545,194,136
141,548,196,130
163,581,199,139
162,591,206,136
150,570,192,137
163,574,186,129
159,583,198,132
147,565,200,133
157,578,198,141
157,596,207,132
157,573,195,131
160,585,210,138
165,601,214,137
151,575,199,130
155,575,200,141
147,556,203,126
140,556,197,125
147,583,206,139
149,577,201,138
156,595,213,134
150,553,191,134
152,568,198,133
151,603,215,131
160,582,196,135
144,544,194,127
156,589,206,132
156,568,198,135
160,597,210,144
154,578,203,129
151,581,200,125
155,575,198,144
168,577,199,135
157,568,193,127
156,562,200,128
153,558,198,129
151,543,184,121
154,579,203,128
153,555,193,128
161,573,195,140
170,628,217,139
161,562,190,126
148,557,193,128
155,600,211,136
156,547,194,128
155,587,206,136
159,587,209,135
145,556,197,125
153,587,205,130
166,563,196,142
147,547,192,140
154,578,204,135
153,566,204,120
161,582,200,130
150,559,194,134
166,566,188,133
151,551,197,126
157,597,208,140
157,580,210,134
155,585,209,130
151,557,194,130
156,588,206,125
154,578,200,125
161,573,202,134
155,587,203,142
153,588,209,126
158,595,206,139
150,574,200,131
157,572,201,130
164,585,195,132
150,555,187,122
154,580,206,134
151,575,200,127
149,559,196,133
153,580,203,138
152,576,201,135
164,603,207,139
150,574,198,137
158,594,208,140
160,589,206,132
149,567,203,117
164,611,211,140
160,585,208,131
153,573,202,134
151,582,206,139
156,586,204,141
161,588,205,135
145,569,205,122
155,574,200,134
153,566,202,132
166,573,194,129
154,584,206,127
160,570,193,128
151,546,192,129
162,576,201,143
150,565,198,128
168,604,211,140
162,575,195,132
149,554,189,133
156,572,193,133
156,579,198,135
155,583,202,132
151,544,188,130
161,554,185,130
146,564,190,131
154,578,204,127
159,570,195,125
161,582,195,136
155,584,204,128
150,583,203,132
153,569,199,129
149,575,203,138
157,574,202,124
156,575,196,123
165,611,208,138
150,559,196,122
154,562,199,126
161,599,212,131
162,598,206,134
154,562,190,130
149,546,190,126
154,563,202,137
154,575,202,130
159,577,199,140
157,584,206,136
150,563,203,126
154,563,193,141
146,560,200,127
154,579,200,135
160,587,208,129
154,590,208,142
152,584,208,140
152,580,208,129
156,582,190,125
150,567,200,131
156,577,199,132
158,599,213,141
154,560,197,126
162,565,193,130
157,584,204,149
153,582,206,127
154,583,210,133
160,604,212,136
156,553,183,127
147,551,195,123
155,565,194,131
153,580,201,133
153,596,208,130
153,534,178,123
144,557,197,131
152,587,208,130
156,573,196,132
153,564,197,136
148,586,213,124
151,569,204,121
152,564,197,128
154,559,190,130
152,554,189,128
146,574,199,137
160,571,190,139
159,587,208,121
152,566,201,126
151,554,192,137
157,578,200,138
164,584,201,131
149,568,203,135
158,588,199,136
156,561,200,122
156,575,200,128
161,592,203,129
153,602,213,134
155,574,197,124
162,603,213,128
149,555,199,137
156,584,205,128
149,557,200,133
158,593,210,135
160,593,212,136
156,590,210,132
155,564,193,129
146,562,200,137
151,562,203,122
151,577,200,124
168,597,207,139
154,583,206,144
152,585,209,136
148,566,200,132
172,604,204,145
156,603,208,140
167,584,199,132
155,582,204,120
144,573,202,125
156,602,209,130
156,573,197,127
162,578,199,139
151,566,198,125
156,582,203,133
167,610,214,140
147,557,195,126
166,590,196,127
156,577,205,136
149,552,195,127
155,567,200,140
162,595,202,138
161,586,204,125
146,557,194,133
157,548,195,130
162,575,203,138
154,582,204,135
153,572,201,120
157,564,202,125
147,563,194,130
154,560,194,130
154,562,197,129
157,575,198,131
155,575,202,128
156,572,199,133
145,554,194,118
146,551,190,121
150,540,189,129
155,581,201,128
146,581,211,134
168,590,202,133
152,573,200,130
145,562,202,126
150,531,182,117
135,543,191,126
145,577,208,130
158,592,205,129
161,584,201,130
162,575,197,131
150,567,198,120
157,570,193,137
153,576,205,121
153,581,207,132
157,578,199,123
154,550,184,129
156,574,196,136
148,578,204,140
146,559,196,125
150,570,201,133
150,566,192,127
156,587,204,137
154,570,195,127
159,580,193,139
150,568,197,126
153,588,208,127
154,553,193,128
153,578,201,128
150,571,196,128
150,595,211,130
153,561,198,124
155,565,196,130
155,561,198,122
163,608,213,136
149,559,196,140
149,578,203,132
153,585,205,125
150,575,199,133
155,577,201,130
153,564,199,127
150,572,196,130
153,583,202,125
160,594,202,127
155,549,191,134
158,569,197,127
147,571,198,133
149,575,207,135
144,550,196,131
156,578,202,130
156,580,205,130
152,588,207,134
159,592,207,140
150,577,204,129
148,566,202,119
151,556,197,127
159,575,204,125
151,577,198,133
154,579,204,125
158,579,198,128
153,614,210,139
155,566,198,132
170,606,205,130
154,579,204,126
154,566,199,126
152,569,201,134
159,590,206,140
150,558,196,133
146,570,200,125
158,598,211,128
152,537,186,126
146,590,208,133
151,570,195,127
150,557,188,131
150,550,193,116
158,570,198,137
152,575,203,138
157,589,208,124
154,588,207,142
151,559,197,119
158,560,193,141
156,593,209,135
156,567,197,129
145,550,184,127
150,563,194,130
159,570,194,125
152,561,196,125
152,592,211,127
148,536,182,122
154,553,189,140
154,584,202,128
172,590,205,129
154,569,200,137
151,556,193,129
163,582,201,135
150,573,200,124
165,579,199,126
148,553,194,129
150,568,195,131
147,567,197,119
166,574,196,135
153,577,197,122
154,601,212,130
151,543,183,125
154,587,206,126
162,588,204,127
152,572,198,125
157,593,212,133
157,568,197,140
158,603,212,133
154,579,203,129
158,605,209,128
150,576,206,134
160,582,201,126
160,590,201,125
154,565,192,128
152,588,206,132
144,558,201,121
159,586,205,131
156,582,206,130
159,582,202,124
165,601,205,136
166,606,212,134
153,561,198,121
147,550,194,133
147,538,186,125
148,576,206,130
152,570,206,134
149,562,200,133
164,580,198,140
149,584,206,123
158,565,194,124
155,574,204,131
152,563,197,120
156,577,205,122
163,573,197,128
157,560,188,131
155,577,202,129
157,573,196,126
154,595,211,139
155,578,198,126
155,586,208,133
157,570,199,131
156,568,200,125
151,584,211,138
174,615,213,144
153,568,203,120
157,568,188,129
164,587,199,134
155,584,207,130
150,563,199,130
147,557,187,126
144,564,195,127
154,564,198,128
160,589,201,138
155,575,200,122
158,574,202,126
155,563,199,121
152,580,200,139
156,576,205,130
164,608,210,145
157,583,202,130
150,560,194,132
159,580,201,129
155,577,204,136
147,545,192,119
154,584,208,123
157,582,204,128
155,593,207,135
156,547,190,136
153,577,203,127
167,603,206,130
153,603,210,135
161,586,200,136
151,572,200,117
157,576,203,134
149,565,195,124
158,552,186,122
163,585,208,135
157,570,194,129
153,566,197,125
153,565,192,116
147,578,208,126
157,579,198,130
146,560,194,127
154,568,196,134
154,595,209,132
160,587,204,124
153,570,196,125
164,586,211,131
150,560,194,127
157,566,196,140
153,574,200,136
177,615,208,137
147,567,201,130
154,548,185,138
155,594,212,135
153,554,192,120
153,552,193,127
153,570,199,120
155,580,202,128
151,572,204,134
153,583,206,129
156,575,198,133
154,540,183,113
159,577,198,132
153,585,207,127
157,566,198,130
155,568,203,124
148,568,201,125
160,600,213,130
157,588,207,125
147,547,185,131
151,570,198,135
166,590,200,131
156,580,206,127
146,563,203,114
161,610,215,134
156,576,202,130
150,585,211,130
156,567,194,123
158,578,196,144
155,553,192,123
154,574,197,139
147,556,195,129
154,577,196,124
157,577,206,136
153,578,204,135
152,582,207,120
153,580,211,118
161,557,194,128
170,578,193,139
166,552,183,130
155,560,197,114
158,554,187,132
166,570,192,140
158,587,202,140
157,586,205,125
161,608,211,132
162,554,192,139
159,573,196,134
152,567,197,133
154,574,197,123
163,589,198,127
160,567,187,135
152,581,202,127
158,600,203,120
157,585,202,132
157,585,204,127
152,565,198,124
151,575,207,138
172,617,208,130
157,578,203,135
166,574,192,138
157,566,197,137
162,590,202,130
153,577,196,126
158,577,199,128
154,547,185,131
157,581,199,132
154,580,204,134
153,582,202,131
154,573,200,127
168,597,200,140
153,568,198,135
150,580,204,117
156,572,199,124
151,582,205,137
147,575,199,128
156,566,202,127
154,553,192,116
149,573,203,133
155,587,205,123
161,593,204,137
162,599,198,136
157,559,188,131
153,569,200,137
164,595,204,139
158,579,198,134
145,567,193,130
153,557,190,129
148,594,208,129
152,568,197,127
154,554,191,124
155,590,206,136
163,544,183,120
149,575,201,124
146,555,201,124
156,564,202,127
156,590,206,130
157,603,211,148
143,547,192,127
157,596,209,132
154,586,208,141
156,592,208,134
154,586,204,126
154,583,200,127
160,570,188,130
154,584,207,136
147,553,192,130
155,540,187,128
149,574,201,127
147,561,196,125
160,596,205,128
156,580,202,120
160,582,203,128
153,571,199,124
158,603,208,139
146,572,201,132
159,578,196,133
146,566,198,119
154,592,206,133
153,581,206,126
151,585,209,125
146,550,193,125
161,577,202,127
158,578,200,134
163,590,200,132
156,597,204,133
157,592,202,134
150,563,197,124
141,578,203,120
153,564,199,133
156,574,196,127
153,573,203,130
152,575,203,131
155,589,205,136
147,566,202,127
150,570,202,135
157,559,182,124
156,560,189,129
143,561,199,134
153,574,197,138
163,606,208,135
154,578,199,136
153,594,212,133
165,622,215,148
156,579,200,126
157,555,185,116
155,568,195,126
160,587,197,125
162,578,196,118
146,550,196,128
149,552,193,126
166,630,217,143
154,576,201,132
156,602,208,140
150,585,206,139
153,605,211,135
161,594,208,135
150,590,211,127
155,576,198,131
160,590,202,128
161,588,197,131
158,580,206,129
154,574,202,137
160,584,202,138
157,567,200,129
159,575,196,138
161,596,204,137
154,570,200,130
153,576,201,135
140,548,198,128
149,583,200,134
153,550,191,127
161,586,199,131
151,567,201,136
158,593,207,126
145,588,214,134
162,614,212,138
162,577,192,121
152,568,200,145
151,538,182,129
161,590,206,136
157,584,206,128
149,544,186,130
156,571,195,126
152,560,188,136
154,590,204,136
145,541,187,125
156,587,206,145
154,606,210,135
152,579,197,120
161,575,194,123
156,574,200,130
149,571,202,123
154,576,201,134
151,572,201,137
146,552,184,114
161,607,213,142
155,578,200,133
146,552,194,124
161,612,208,133
163,593,208,139
161,577,193,140
155,577,204,131
149,570,199,124
151,549,188,127
152,568,201,130
154,583,203,128
153,582,204,138
155,584,204,120
156,596,213,133
147,565,198,122
152,563,197,134
153,558,193,125
153,567,197,124
152,582,206,122
157,561,191,124
149,575,200,112
151,568,197,133
160,611,215,130
153,561,187,139
158,586,197,128
163,615,210,122
146,557,195,123
155,597,209,128
156,564,193,120
155,582,200,122
149,564,201,119
152,561,200,114
146,564,197,124
152,557,193,124
143,564,203,130
167,598,204,144
145,562,197,115
148,549,194,126
150,572,200,115
154,586,198,122
150,573,197,123
147,546,192,119
167,615,206,126
145,534,188,128
160,602,215,138
148,554,197,129
158,587,199,129
151,566,192,124
164,583,194,143
159,572,195,123
156,605,216,130
157,578,194,135
152,594,213,137
154,580,202,124
154,556,190,115
142,552,193,119
149,593,208,135
155,550,188,123
159,593,205,136
149,558,194,110
154,547,190,126
159,574,197,128
152,557,193,130
148,572,201,139
162,588,200,136
150,577,202,140
160,595,202,130
162,588,195,132
147,584,199,124
168,577,197,122
142,544,193,117
165,595,203,139
155,562,194,120
147,571,195,126
155,586,202,120
154,571,197,125
152,570,194,135
159,590,203,135
152,582,202,131
154,571,201,130
164,587,194,126
150,553,199,129
147,576,202,122
146,559,199,130
152,551,198,135
156,574,202,129
147,552,194,128
158,574,197,133
151,584,200,124
158,563,189,120
150,570,204,134
152,557,197,119
158,574,200,131
160,573,196,130
159,564,195,138
149,553,194,130
157,579,202,125
154,591,207,126
154,563,196,123
153,586,205,128
156,584,199,131
170,603,197,138
153,584,203,130
144,548,194,110
151,572,205,114
157,558,190,128
157,577,201,140
158,568,190,135
155,570,196,121
154,574,198,125
152,587,212,129
153,573,196,145
152,564,199,135
147,556,194,130
158,573,197,138
152,590,206,128
153,578,202,135
157,607,214,137
149,545,191,128
160,600,216,116
153,545,186,129
152,591,207,141
150,568,197,126
158,583,204,127
147,568,192,127
158,593,204,128
154,603,212,133
153,593,208,123
150,575,201,129
154,564,192,132
157,577,201,130
155,569,195,130
146,576,209,126
164,601,215,137
163,606,207,140
151,566,200,126
148,546,185,132
153,587,203,123
152,566,197,118
151,591,207,136
153,580,203,130
158,588,204,129
156,589,200,118
150,571,202,124
158,571,199,125
159,600,213,129
149,578,207,130
168,618,207,137
147,544,188,119
156,566,194,127
149,573,199,129
153,583,199,123
149,558,188,125
155,574,197,128
158,583,202,124
156,580,199,128
153,557,189,128
154,589,207,134
163,596,199,144
159,603,210,142
156,587,210,130
157,605,213,133
152,578,203,125
157,602,208,133
161,615,213,139
154,556,187,126
154,599,207,127
166,577,197,131
156,596,213,143
160,593,210,135
150,545,189,133
155,578,198,134
155,568,192,126
152,572,195,133
150,585,207,140
152,578,195,127
150,551,193,125
154,567,196,130
158,602,208,133
152,580,202,123
146,556,199,124
151,552,194,126
156,592,206,133
153,574,196,122
158,585,205,128
153,566,194,136
153,580,211,134
153,565,191,128
156,578,202,131
154,551,192,127
162,572,196,144
149,557,197,130
149,563,198,127
152,588,211,139
150,577,204,131
164,603,214,123
154,588,211,136
162,574,196,127
163,587,201,137
151,563,194,125
144,555,197,135
155,587,203,138
160,581,200,130
156,578,199,134
159,582,199,135
157,552,183,125
147,579,208,127
153,584,206,128
155,587,213,123
160,599,216,138
158,578,199,130
149,573,206,135
146,594,209,130
157,600,213,138
153,572,200,126
161,594,206,135
147,568,196,123
148,569,202,125
146,564,204,128
156,569,190,130
153,584,208,124
150,574,204,131
153,580,204,142
155,590,201,139
160,583,201,135
146,566,199,118
154,570,204,130
148,561,200,122
164,584,198,138
154,593,200,127
152,569,194,126
147,553,188,127
161,569,198,126
156,569,190,128
157,587,204,133
161,577,194,135
153,578,202,125
161,577,196,139
152,578,196,123
156,580,197,129
158,600,212,135
148,566,199,130
157,572,198,138
163,590,199,133
151,577,203,133
152,573,200,127
157,568,196,138
140,560,199,134
158,588,207,132
157,568,197,127
165,607,206,145
153,593,204,130
157,584,206,135
155,578,205,136
156,589,206,145
153,576,203,115
148,571,198,127
148,567,198,134
158,595,204,137
150,563,200,133
148,547,189,122
147,582,203,130
151,567,201,128
150,573,195,128
164,590,198,146
148,573,201,143
152,582,210,135
158,580,204,132
154,577,202,142
155,559,192,137
162,593,203,139
158,564,192,127
153,569,197,131
151,569,201,135
155,590,205,140
163,584,201,137
160,594,206,131
157,579,197,138
158,588,208,136
148,553,193,122
156,590,209,125
144,566,203,126
157,552,187,131
140,552,195,127
160,588,200,136
161,589,203,135
156,580,204,135
153,568,193,131
163,596,203,134
154,577,198,133
146,549,187,124
158,577,206,131
147,557,198,122
151,568,194,140
152,587,208,127
158,572,201,123
155,575,198,121
150,571,206,130
158,596,207,140
154,603,212,142
154,562,194,127
157,579,204,141
154,573,200,126
151,571,203,131
151,575,202,117
154,585,206,118
154,584,193,128
164,624,213,133
153,568,197,132
153,569,197,144
150,574,202,120
161,596,199,137
158,573,202,136
156,558,191,112
162,573,196,129
157,554,184,123
150,541,183,120
159,557,182,128
160,587,205,126
152,558,191,124
154,568,194,134
157,617,217,140
152,596,210,129
156,600,208,141
145,551,188,132
149,562,194,130
164,615,214,143
145,575,200,127
142,578,203,131
149,547,187,140
148,597,207,134
152,565,194,124
158,580,194,132
158,593,206,134
150,559,191,126
148,566,193,131
155,567,188,130
150,584,205,125
147,565,197,135
152,560,197,119
142,571,202,127
160,584,204,122
153,560,193,134
151,571,198,127
155,582,205,131
160,558,186,135
154,581,198,127
153,581,207,137
156,598,213,132
156,553,182,132
158,595,202,139
160,590,206,135
151,574,198,130
151,563,197,135
152,594,207,124
148,563,196,135
153,580,192,124
149,577,201,131
153,590,209,136
152,563,192,129
155,559,194,135
169,587,198,132
148,554,192,123
153,591,202,122
153,598,202,139
151,548,185,129
158,572,198,133
153,549,187,137
160,604,208,137
147,566,204,134
157,577,199,146
147,544,188,119
149,579,202,131
158,615,216,123
147,572,204,124
157,614,217,135
150,605,211,137
154,584,202,139
158,577,197,132
144,535,186,124
157,581,202,124
150,557,200,126
151,568,193,136
160,601,209,128
146,548,192,126
159,604,207,138
152,587,207,133
153,594,213,133
165,575,195,135
154,557,192,122
151,568,200,130
162,583,201,130
163,580,200,138
155,572,203,124
161,597,198,134
143,560,196,127
160,592,205,133
152,569,200,130
151,560,192,125
159,575,196,116
154,590,205,136
147,581,202,138
159,578,200,129
155,573,196,138
150,579,203,125
155,566,194,135
147,548,189,127
152,567,195,125
163,623,213,138
160,607,213,136
157,583,200,125
164,575,191,121
157,582,200,128
162,575,196,134
158,570,190,131
152,572,196,129
160,574,201,128
152,553,186,130
146,563,199,133
155,557,195,131
154,573,200,127
148,558,206,123
157,567,193,128
162,581,202,129
160,574,196,134
153,577,200,125
157,570,193,133
160,595,204,121
157,590,204,134
144,564,200,135
153,567,196,137
155,577,198,128
154,577,194,141
158,606,212,141
144,590,210,146
170,617,210,127
150,566,192,130
161,613,216,130
156,576,200,135
146,588,210,124
154,580,203,126
152,600,212,138
157,572,191,126
156,588,202,133
156,607,210,133
150,550,185,132
163,573,188,131
156,581,202,127
154,572,193,125
155,582,198,123
150,571,199,127
150,567,195,118
172,589,191,127
156,574,196,124
148,583,207,133
155,584,204,126
155,593,202,127
156,615,216,134
151,560,192,120
154,590,208,131
157,603,201,128
154,565,196,126
160,590,204,132
158,584,205,136
160,610,208,135
149,563,197,130
154,585,201,142
149,576,203,130
165,588,200,138
148,574,200,142
145,560,192,135
152,582,203,137
153,586,204,133
148,574,202,126
147,574,202,137
156,559,192,133
156,584,204,134
152,558,194,132
148,571,200,122
154,554,189,129
146,554,188,135
152,564,194,131
154,574,203,130
157,588,200,137
141,554,193,133
156,585,210,142
140,565,201,124
152,570,196,123
158,588,201,129
153,580,197,125
151,556,194,128
143,576,207,117
166,596,204,133
161,577,197,134
154,584,207,138
158,578,202,138
158,613,215,130
154,588,210,135
152,591,208,124
155,584,205,128
152,578,202,127
159,614,213,140
157,591,204,137
146,573,210,124
151,556,191,126
147,564,198,124
163,596,203,121
163,594,203,130
164,607,209,141
158,605,213,142
154,587,205,137
155,555,189,125
162,592,199,133
151,592,210,134
160,614,217,147
153,569,197,129
149,562,196,137
144,550,194,127
148,586,203,127
154,577,203,136
148,570,203,140
154,574,194,123
156,586,202,127
157,588,205,115
158,584,194,142
154,588,206,133
156,568,191,132
157,586,202,135
144,589,211,134
152,581,196,126
153,572,203,128
154,581,200,129
147,582,205,145
156,554,191,127
156,543,185,124
150,568,201,128
155,568,192,134
154,555,192,124
157,572,194,122
156,571,193,126
156,596,204,126
151,584,200,140
156,594,211,132
154,580,202,138
158,582,203,130
165,600,201,130
151,573,193,145
157,566,190,123
153,570,188,128
153,577,201,128
154,566,196,118
157,587,204,138
156,594,207,130
151,567,205,128
148,555,197,130
151,572,199,129
150,562,197,131
140,545,191,120
153,560,193,117
148,562,191,122
154,561,192,127
164,610,211,140
157,585,201,144
147,562,192,126
153,599,212,139
155,584,207,129
159,625,219,139
160,587,198,141
156,576,199,123
148,572,200,128
164,586,199,130
145,543,187,110
156,574,196,130
154,590,198,117
153,541,193,121
166,600,206,139
152,567,199,127
157,590,203,140
146,567,204,119
153,590,211,128
159,585,197,130
154,587,206,120
150,561,201,121
150,572,201,128
155,564,192,126
150,550,194,122
154,584,206,121
154,531,178,123
156,577,204,135
155,564,192,133
138,555,201,121
156,576,198,126
144,560,194,126
156,588,206,126
158,579,204,127
153,563,199,128
151,550,188,129
167,584,192,129
150,563,196,129
158,591,206,127
151,567,196,130
151,587,208,126
155,578,200,120
164,602,207,126
163,584,199,129
150,573,201,123
153,564,195,122
161,598,207,127
156,583,203,130
150,565,197,122
148,547,186,119
158,592,205,135
158,577,191,118
145,549,190,116
153,576,200,128
158,582,204,129
166,598,202,134
153,594,209,139
147,567,195,116
159,589,202,128
149,600,216,134
163,563,185,119
155,582,197,130
152,583,205,127
154,570,194,124
164,613,206,140
161,563,191,124
162,604,207,138
158,587,205,125
157,568,196,117
161,597,203,127
149,563,195,125
154,574,201,128
152,578,202,124
150,575,200,121
160,620,213,137
160,589,203,134
164,588,201,137
153,577,191,134
160,574,194,130
157,598,210,134
161,594,202,140
160,603,211,137
155,599,210,134
176,585,194,133
152,562,193,116
156,590,204,131
154,564,193,132
141,575,202,132
159,563,193,135
164,575,195,125
152,573,202,127
150,578,204,133
159,604,206,129
156,576,199,133
146,527,187,125
148,573,206,125
154,568,196,140
148,558,197,127
165,613,207,146
157,577,194,124
150,581,210,134
156,566,197,138
153,570,200,134
154,576,197,133
171,625,214,136
153,597,210,127
161,567,191,125
150,563,194,127
154,560,194,133
180,600,193,145
166,591,200,127
154,594,207,118
158,586,198,136
