Gender,weight_kg,stature_m,footlength,headlength
Male,85.2,1.833,293,193
Male,103.3,1.784,292,201
Male,103.4,1.77,283,200
Male,72.5,1.702,247,191
Male,71.1,1.8,255,213
Male,67.8,1.715,265,192
Male,78.2,1.842,277,198
Male,90.9,1.71,276,205
Male,84.0,1.753,283,201
Female,66.5,1.625,246,188
Female,68.5,1.67,230,179
Female,57.9,1.616,239,188
Female,64.7,1.582,229,185
Female,59.1,1.73,261,188
Female,45.0,1.501,224,180
Female,57.2,1.515,225,168
Female,72.1,1.576,257,188
Female,67.6,1.628,247,192
Female,71.1,1.586,231,188
Female,79.1,1.737,275,195
Female,53.6,1.576,235,186
Female,63.9,1.626,249,189
Female,62.8,1.604,230,192
Female,78.8,1.673,250,187
Female,59.8,1.642,234,186
Female,75.2,1.538,236,190
Female,68.6,1.574,237,186
Female,66.8,1.637,239,188
Female,61.3,1.62,247,184
Female,74.2,1.733,268,194
Female,52.2,1.526,255,196
Female,76.7,1.732,258,197
Female,66.1,1.624,245,188
Female,50.5,1.507,222,174
Female,63.7,1.56,229,186
Female,66.6,1.64,263,200
Female,61.0,1.675,257,190
Female,58.1,1.526,235,188
Female,60.9,1.623,241,196
Female,57.5,1.584,234,196
Female,79.7,1.671,259,189
Female,74.5,1.552,228,181
Female,61.4,1.633,242,194
Female,67.7,1.53,225,189
Female,50.8,1.606,243,186
Female,63.3,1.617,250,183
Female,71.1,1.645,247,199
Female,72.7,1.681,263,206
Female,67.9,1.655,260,192
Female,83.3,1.626,244,212
Female,62.2,1.635,238,190
Female,61.6,1.572,241,180
Female,57.3,1.608,250,195
Female,50.7,1.662,247,184
Female,61.1,1.582,237,208
Female,86.6,1.701,256,191
Female,52.3,1.602,223,196
Female,67.6,1.549,243,195
Female,54.9,1.561,234,195
Female,57.1,1.677,250,198
Female,64.4,1.594,243,190
Female,64.9,1.628,243,177
Female,59.2,1.549,230,189
Female,56.3,1.559,240,190
Female,58.0,1.619,253,186
Female,81.0,1.69,242,182
Female,64.9,1.698,248,189
Female,65.4,1.705,256,200
Female,57.0,1.625,242,182
Female,80.5,1.666,252,190
Female,67.1,1.559,217,181
Female,67.3,1.595,236,187
Female,55.0,1.634,234,190
Female,70.8,1.643,252,194
Female,53.8,1.667,236,193
Female,77.1,1.661,263,196
Female,60.2,1.56,243,182
Female,71.9,1.61,262,201
Female,61.7,1.61,235,191
Female,76.1,1.682,260,188
Female,73.9,1.604,237,198
Female,56.0,1.54,228,178
Female,64.7,1.638,234,185
Female,72.4,1.656,250,192
Female,70.8,1.597,237,187
Female,95.3,1.749,277,182
Female,74.8,1.661,255,194
Female,70.0,1.526,223,179
Female,65.5,1.583,236,185
Female,49.9,1.533,242,195
Female,55.3,1.575,261,182
Female,92.4,1.776,263,192
Female,71.6,1.713,257,184
Female,67.6,1.653,259,193
Female,64.1,1.516,227,189
Female,66.6,1.658,260,185
Female,66.3,1.617,240,189
Female,76.3,1.687,273,190
Female,71.7,1.603,239,185
Female,64.3,1.539,237,175
Female,59.1,1.603,238,187
Female,52.9,1.62,236,192
Female,69.4,1.617,253,193
Female,69.9,1.6,245,184
Female,59.2,1.572,247,186
Female,54.0,1.632,242,196
Female,70.1,1.69,246,185
Female,68.1,1.682,250,201
Female,86.4,1.657,254,180
