stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
1.752,930,196,1876,766,1081,264,199,1170,1287,893,1516,881
1.673,889,257,1693,978,1094,251,174,1118,1243,1024,1452,869
1.85,994,226,1936,892,1194,279,208,1199,1383,1029,1591,932
1.802,995,202,1942,904,1168,285,200,1242,1360,1066,1573,860
1.727,853,235,1749,952,1142,255,184,1067,1257,1011,1485,952
1.717,892,227,1773,911,1097,264,194,1145,1269,988,1477,887
1.672,900,225,1836,903,1276,283,197,1140,1260,1068,1442,846
1.85,960,228,1899,904,1184,266,197,1197,1367,1065,1605,972
1.958,988,222,1932,908,1097,280,197,1304,1470,962,1681,992
1.708,894,241,1747,958,1205,271,189,1103,1273,1094,1466,896
1.923,993,283,1967,1104,1341,293,212,1223,1448,1228,1670,1015
1.684,844,229,1747,891,1136,250,184,1079,1253,979,1443,929
1.762,919,273,1821,1106,1231,269,187,1200,1311,1094,1535,906
1.869,966,288,1884,1120,1199,288,203,1267,1384,1201,1625,976
1.768,910,247,1834,995,1174,279,197,1156,1285,1054,1531,923
1.668,866,237,1712,922,1127,263,174,1125,1229,1080,1431,864
1.658,822,261,1719,1060,1180,253,186,1125,1193,1123,1430,894
1.823,943,260,1923,1045,1137,275,198,1243,1346,1106,1589,928
1.856,958,197,1842,823,1066,279,194,1181,1381,937,1613,962
1.792,955,226,1847,884,1100,292,199,1204,1329,962,1570,925
1.709,908,212,1815,865,1119,266,188,1143,1266,992,1482,873
1.775,934,204,1929,817,1146,269,204,1136,1323,998,1550,897
1.712,883,227,1684,952,1185,268,181,1090,1294,1056,1501,901
1.769,928,224,1815,958,1225,264,190,1165,1330,1131,1528,920
1.651,863,194,1794,747,1117,254,194,1092,1220,969,1423,855
1.77,901,223,1808,884,1145,281,195,1125,1313,1000,1528,946
1.928,1017,245,2001,953,1186,289,214,1207,1442,1145,1690,1008
1.751,921,230,1870,929,1221,268,196,1141,1309,1118,1535,890
1.597,818,227,1687,913,1057,257,183,1056,1198,1020,1388,840
1.82,945,205,1879,852,1178,269,191,1155,1360,953,1588,950
1.821,953,222,1917,803,1112,275,202,1138,1321,946,1576,952
1.813,942,346,1877,1251,1277,275,190,1239,1326,1324,1592,939
1.826,949,247,1930,977,1228,285,195,1196,1360,1088,1596,944
1.675,840,302,1742,1149,1246,261,188,1127,1236,1200,1456,897
1.722,909,266,1817,976,1221,277,195,1171,1268,1124,1498,902
1.718,887,227,1759,913,1190,258,191,1134,1260,1067,1498,895
1.726,862,241,1836,958,1169,274,197,1135,1283,1053,1494,892
1.767,873,229,1783,917,1108,268,196,1114,1282,999,1519,934
1.701,878,223,1800,930,1143,264,187,1105,1232,987,1451,897
1.744,895,219,1809,896,1133,272,197,1129,1273,998,1512,929
1.68,900,219,1808,847,1195,298,205,1147,1245,1027,1448,863
1.581,813,192,1620,776,1055,244,176,1030,1155,915,1347,838
1.731,833,235,1737,917,1109,251,177,1086,1253,1043,1489,943
1.825,926,238,1806,996,1228,271,196,1182,1357,1105,1577,958
1.635,819,263,1671,1046,1210,261,181,1074,1221,1209,1399,872
1.736,862,260,1732,989,1123,272,184,1129,1268,1098,1497,938
1.692,874,308,1755,1105,1192,276,192,1151,1223,1156,1462,904
1.665,822,200,1676,785,1082,257,181,1063,1220,933,1432,910
1.856,987,223,1902,955,1218,295,204,1203,1399,1109,1625,950
1.874,1006,265,1983,1043,1233,291,205,1277,1417,1202,1651,949
1.672,845,245,1739,978,1192,275,198,1127,1221,1121,1445,911
1.807,926,189,1757,803,1140,268,182,1182,1350,990,1549,967
1.892,964,306,1947,1157,1300,281,207,1303,1413,1256,1636,975
1.795,912,221,1843,900,1209,280,200,1196,1319,1042,1556,926
1.798,999,201,2006,757,1150,289,210,1174,1361,925,1568,862
1.721,864,198,1771,810,1083,252,184,1149,1279,929,1489,918
1.687,860,205,1765,809,1158,270,191,1095,1250,1026,1465,913
1.745,913,198,1789,788,1104,256,190,1098,1304,996,1505,925
1.836,943,279,1871,1067,1178,283,193,1192,1339,1146,1600,946
1.751,826,248,1860,999,1180,290,203,1182,1276,1071,1516,933
1.856,946,307,2033,1196,1327,298,221,1251,1354,1219,1627,943
1.702,840,248,1752,952,1179,264,197,1085,1285,1099,1492,913
1.717,809,193,1690,799,1135,253,187,1071,1240,998,1477,937
1.759,870,185,1818,789,1135,279,199,1112,1300,957,1518,941
1.789,896,275,1867,1095,1272,274,191,1178,1302,1202,1543,940
1.838,941,261,1916,1029,1288,291,199,1191,1354,1164,1597,954
1.639,808,183,1681,772,1091,259,184,1072,1190,922,1416,865
1.674,841,268,1789,1017,1147,269,187,1092,1254,1096,1440,868
1.745,843,277,1763,1023,1249,258,191,1127,1276,1137,1512,968
1.662,827,200,1777,817,1204,250,187,1061,1208,994,1426,888
1.674,822,233,1703,877,1127,251,176,1100,1215,1016,1428,893
1.688,828,238,1754,926,1159,264,186,1117,1226,1005,1445,909
1.744,853,294,1801,1149,1210,278,194,1134,1269,1150,1505,934
1.773,877,271,1746,1030,1269,270,194,1115,1314,1124,1530,960
1.835,987,214,1984,870,1247,286,214,1228,1377,1093,1609,897
1.736,895,231,1828,884,1169,272,194,1121,1286,1018,1507,882
1.668,810,244,1725,955,1154,250,186,1079,1211,1020,1437,904
1.791,891,266,1852,1042,1242,268,188,1197,1336,1138,1558,918
1.816,899,230,1837,924,1135,266,194,1199,1335,1012,1552,940
1.781,877,243,1773,944,1122,267,191,1108,1304,1023,1523,940
1.759,875,181,1784,759,1088,281,194,1137,1297,911,1517,931
1.673,866,218,1693,897,1132,253,177,1085,1236,1037,1451,866
1.734,871,219,1855,852,1162,271,196,1141,1274,1006,1500,890
1.64,806,261,1682,1001,1147,250,174,1065,1175,1092,1415,887
1.663,789,231,1710,897,1125,247,176,1038,1203,972,1432,906
